"","eggnog","effect"
"1","0XNMQ",2.50120016413555
"2","0XPPY",2.36707525034808
"3","0XQTH",2.37802423649355
"4","0XUSB",2.21645422853359
"5","0XUTY",2.39337632673685
"6","0XVR0",2.34885729000966
"7","0Y3AH",2.127068787029
"8","0Y83C",2.30042043452126
"9","0YEGX",1.9939407713995
"10","0YM68",2.31800514029497
"11","0Z6Y9",2.44579366587956
"12","0ZNXT",2.2576247567185
"13","0ZR3Q",2.50639660975332
"14","0ZX31",2.60749460117648
"15","0ZX33",2.44952902314403
"16","0ZXAN",2.34983304084342
"17","0ZXHK",2.48700098930133
"18","0ZY4E",2.35348334329707
"19","0ZYWP",2.35037222712865
"20","1039E",2.30441814429974
"21","11FEM",2.22543572115201
"22","11IJU",2.40916029425693
"23","11J0I",2.4680483719582
"24","11NTE",2.49934829349392
"25","11RPF",2.27367643565296
"26","11RTE",2.42098004577317
"27","11TI7",2.2247770891685
"28","11TV7",2.46315977058821
"29","11U7C",2.32703758500918
"30","11UWQ",2.02360126555745
"31","11VIT",2.39186263153397
"32","11X5A",2.51651083639157
"33","11Y5F",2.28521235869743
"34","120C4",2.37507907939676
"35","120UV",2.35175886198549
"36","121MY",2.38315932818354
"37","121WS",2.46586713070139
"38","122GJ",2.32576467277135
"39","122UX",2.33114840664676
"40","123I1",2.42873390121867
"41","12522",2.30728309622484
"42","128CZ",2.68458096971456
"43","12983",2.30194652283907
"44","12BYZ",2.44803079604569
"45","12C15",2.21513738403287
"46","COG0643",2.43544579764053
"47","COG0673",1.16456772058038
"48","COG0720",2.31242945562312
"49","COG0784",2.42749263217747
"50","COG0835",2.38322526927571
"51","COG0840",2.32522324314918
"52","COG1055",1.00597425745017
"53","COG1092",1.13773740922605
"54","COG1157",2.53658196429126
"55","COG1191",1.25917334974559
"56","COG1256",2.39458259147465
"57","COG1291",2.55209913592166
"58","COG1298",2.38318210739781
"59","COG1301",1.02437427746907
"60","COG1315",2.588839979303
"61","COG1338",2.51551632385903
"62","COG1344",2.27925876730583
"63","COG1345",2.40515467247773
"64","COG1360",1.15166355660973
"65","COG1516",2.31716378164902
"66","COG1536",2.5268730134116
"67","COG1551",2.22710450589413
"68","COG1655",2.27078316531616
"69","COG1699",2.47434578928144
"70","COG1749",2.43822869556798
"71","COG1757",1.01313228311768
"72","COG1766",2.40569892915335
"73","COG1774",2.42261513397834
"74","COG1776",2.41791608709432
"75","COG1843",2.43581598791461
"76","COG1868",2.36967185002645
"77","COG1871",2.34371461868433
"78","COG1886",2.49228354667034
"79","COG2088",2.21750062589299
"80","COG2199",2.23893291244594
"81","COG2201",2.43532686936113
"82","COG2206",1.51877843634987
"83","COG2820",1.37998568982114
"84","COG3808",1.54133703359863
"85","COG4260",2.36868967173246
"86","COG4545",2.32452963023783
"87","COG4786",2.41035571693353
"88","COG5521",2.40133169738116
"89","COG5617",2.20007971837096
"90","COGexopol",2.28697054678114
